Province,City,Number,Lng,Lat
北京市,Beijing,11,116.425195,39.65279
青海省,Haidong,6,102.376689,36.312743
江苏省,Zhenjiang,1,119.845138,32.189469
江苏省,Changzhou,3,119.382839,31.425242
北京市,Beijing,4,116.418291,39.921175
北京市,Beijing,10,116.295714,39.965035
北京市,Beijing,8,116.362495,39.932626
海南省,,1,110.063364,19.347749
青海省,Zang Autonomous Region,3,96.71235,32.906575
北京市,Beijing,4,116.44265,39.919988
吉林省,Chaoxian Autonomous Region,21,129.471302,43.059667
新疆维吾尔自治区,,6,81.291737,40.61568
浙江省,Shaoxing,3,120.281434,29.6994
山西省,Yuncheng,1,110.708539,35.631891
广东省,Kanjiang,2,110.708187,21.441681
湖北省,Shuizhou,1,113.812619,31.682325
广东省,Jieyang,2,116.078166,23.288954
广东省,Jiangmen,1,112.286461,22.240985
北京市,Beijing,5,116.457818,39.922318
北京市,Beijing,16,116.442182,39.946201
四川省,Chengdu,1,103.889866,31.148577
内蒙古自治区,Shun'an,5,122.048167,46.083756
广东省,Qingyuan,1,112.459189,24.937021
河北省,Cangzhou,2,116.163214,38.741105
海南省,,4,109.656113,18.597592
北京市,Beijing,9,116.38025,39.91557
海南省,,1,109.062698,18.658614
湖南省,Yiyang,1,112.564942,28.977186
海南省,,6,110.780909,19.750947
内蒙古自治区,Shun'an,6,122.081534,46.116943
湖南省,Changsha,1,113.721985,28.234472
北京市,Beijing,1,116.439655,39.903066
黑龙江省,Ha'erbin,1,128.31617,45.083895
山东省,Weifang,1,118.470187,36.680584
新疆维吾尔自治区,Hasake Autonomous Region,8,81.289048,44.020356
山东省,Zaozhuang,1,117.147616,35.065791
甘肃省,Lanzhou,1,103.719156,36.115523
广东省,Yangjiang,1,111.694449,22.223898
江苏省,Yancheng,1,120.585064,33.265909
山东省,Yantai,1,120.400517,37.344146
四川省,Zang Autonomous Region,8,101.969232,30.055144
浙江省,Jinhua,4,120.108684,28.940177
内蒙古自治区,Yilinguole,1,111.966178,43.41778
海南省,,4,108.85101,18.998161
云南省,Dai Autonomous Region,2,100.927318,22.111413
江苏省,Taizhou,1,120.135346,32.213679
新疆维吾尔自治区,Taicheng,1,84.277878,44.407687
贵州省,Miao Autonomous Region,1,107.491217,26.777119
山西省,Linfen,2,110.710805,36.432636
江苏省,Changzhou,1,119.534151,31.728356
河北省,Tangshan,1,118.257848,39.692123
广西壮族自治区,Beihai,1,109.165344,21.518621
山东省,Yantai,1,120.862694,37.66116
北京市,Beijing,7,116.443664,39.922376
内蒙古自治区,Xilinguole,3,116.136948,44.078961
西藏自治区,Changdu,5,96.36244,30.510925
内蒙古自治区,Hulunbei'er,1,117.603687,49.500032
河南省,Zhengzhou,1,113.03959,34.703799
山东省,Jining,2,117.03179,35.615761
江苏省,Xuzhou,1,117.90306,34.402946
河南省,Zhengzhou,1,113.351802,34.80618
江苏省,Zhenjiang,1,119.20708,31.932635
辽宁省,Chaoyang,1,119.271543,40.981801
福建省,Ningde,1,120.198307,27.224829
贵州省,Miao Autonomous Region,2,107.477559,26.153657
江苏省,Suzhou,4,121.158978,31.571904
湖北省,Huangshi,1,114.846142,30.072896
安徽省,Xuancheng,1,118.997025,30.502936
浙江省,Ningbo,1,121.152779,29.996457
浙江省,Jiaxing,1,120.490411,30.612341
北京市,Beijing,1,116.602877,40.017703
山西省,Lvliang,1,111.637646,37.118133
山东省,Qingdao,1,119.959421,36.248031
青海省,Miao Autonomous Region,1,102.0076,35.522852
北京市,Beijing,2,116.457298,39.91494
江苏省,Taizhou,1,120.276899,32.039443
浙江省,Wenzhou,1,120.46834,27.829231
湖北省,Huanggang,1,115.089715,31.217943
江西省,Yichun,1,115.421346,28.002514
河南省,Anyang,1,113.861084,36.016561
浙江省,Jinhua,1,120.067296,29.306444
